timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:00.068, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:00.068, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:00.069, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:00.070, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:00.071, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:00.071, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:00.072, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:00.073, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:01.144, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:01.145, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:01.146, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:01.146, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:01.147, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:01.148, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:01.149, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:01.149, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:02.220, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:02.221, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:02.221, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:02.222, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:02.223, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:02.223, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:02.224, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:02.225, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:03.315, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:03.316, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:03.318, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:03.319, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:03.321, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:03.322, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:03.323, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:03.325, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:04.396, Tesla V100-SXM2-16GB, 100 %, 16 %
2021/06/22 11:32:04.397, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:04.397, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:04.398, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:04.399, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:04.399, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:04.400, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:04.401, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:05.466, Tesla V100-SXM2-16GB, 100 %, 16 %
